Col Value-T	Col Value-1	CV Count-2	CVT Count-3	CVF Count-4	3 D 2	4 D 2	3 D TTT	4 D TTF	2 D TT	3 D TT
mail_category	mail_category_15	154052	47787	106265	0.3102004517954976	0.6897995482045024	0.2961753239911495	0.32727031946313684	0.3169481203502535	0.09831745012838239
mail_category	mail_category_1	104180	40886	63294	0.39245536571318873	0.6075446342868113	0.2534041537803616	0.19493010492730234	0.21434097043913358	0.08411926394100994
mail_category	mail_category_3	66684	22153	44531	0.3322086257573031	0.6677913742426969	0.13730035265607665	0.13714463460229565	0.1371963262887616	0.04557780301534005
mail_category	mail_category_13	42143	16652	25491	0.395130863963173	0.604869136036827	0.10320613336473564	0.07850607173984682	0.08670542827045888	0.03425999078280335
mail_category	mail_category_4	42154	12851	29303	0.3048583764292831	0.6951416235707168	0.07964821161843728	0.09024610333814802	0.08672805978010402	0.026439775495424322
mail_category	mail_category_7	26677	7551	19126	0.2830528170333996	0.7169471829666004	0.046799754566245425	0.058903421917394776	0.05488552570939496	0.015535502666403318
mail_category	mail_category_10	15283	4218	11065	0.27599293332460906	0.7240070666753909	0.026142413555876466	0.03407750515089267	0.031443396536967545	0.008678155243926526
mail_category	mail_category_6	13307	3334	9973	0.25054482603141204	0.749455173968588	0.020663538832454274	0.030714411104369867	0.027377954440713673	0.006859404832444532
mail_category	mail_category_9	6464	1535	4929	0.2374690594059406	0.7625309405940595	0.009513656900965001	0.0151801195561455	0.013299098031470143	0.003158124300480611
mail_category	mail_category_2	5233	1275	3958	0.24364609210777757	0.7563539078922225	0.007902223158782005	0.012189676040418724	0.010766426361182435	0.00262319770886826
mail_category	mail_category_8	2974	718	2256	0.2414256893073302	0.7585743106926698	0.004450036257259199	0.006947930557651501	0.0061187372440582	0.0014772203568371848
mail_category	mail_category_14	1602	479	1123	0.2990012484394507	0.7009987515605494	0.002968756778867906	0.003458566496561452	0.0032959707683191783	0.0009854993745473698
mail_category	mail_category_5	1199	398	801	0.33194328607172646	0.6680567139282736	0.0024667331899570493	0.002466884918740626	0.002466834551320034	0.0008188491671604451
mail_category	mail_category_11	1007	369	638	0.36643495531281034	0.6335650446871897	0.0022869963494827916	0.0019648846169244938	0.0020718118375139902	0.0007591842780959906
mail_category	mail_category_12	1011	312	699	0.3086053412462908	0.6913946587537092	0.0019337204906195963	0.0021527497605489357	0.0020800414773849496	0.0006419119099348213
mail_category	mail_category_16	910	301	609	0.33076923076923076	0.6692307692307692	0.001865544447681085	0.0018755716797915622	0.0018722430706432287	0.0006192804002896833
mail_category	mail_category_17	734	293	441	0.3991825613079019	0.6008174386920981	0.0018159618709985312	0.0013581725957111312	0.0015101389163210217	0.0006028211205477648
mail_category	Empty	425	232	193	0.5458823529411765	0.4541176470588235	0.0014378947237940589	0.0005943929954019237	0.00087439923628942	0.0004773191125156363
mail_category	mail_category_18	9	3	6	0.3333333333333333	0.6666666666666666	1.8593466255957657e-05	1.8478538717158246e-05	1.8516689709658306e-05	6.1722299032194354e-06
mail_category		0	0	0			0.0	0.0	0.0	0.0
Col Value-T	Col Value-1	CV Count-2	CVT Count-3	CVF Count-4	3 D 2	4 D 2	3 D TTT	4 D TTF	2 D TT	3 D TT
mail_type	mail_type_1	288694	96383	192311	0.33385868774550215	0.6661413122544978	0.5973646860493222	0.5922710432059033	0.5939619132266772	0.19829934492066628
mail_type	mail_type_3	154052	47787	106265	0.3102004517954976	0.6897995482045024	0.2961753239911495	0.32727031946313684	0.3169481203502535	0.09831745012838239
mail_type	mail_type_2	42143	16652	25491	0.395130863963173	0.604869136036827	0.10320613336473564	0.07850607173984682	0.08670542827045888	0.03425999078280335
mail_type	mail_type_4	734	293	441	0.3991825613079019	0.6008174386920981	0.0018159618709985312	0.0013581725957111312	0.0015101389163210217	0.0006028211205477648
mail_type	Empty	425	232	193	0.5458823529411765	0.4541176470588235	0.0014378947237940589	0.0005943929954019237	0.00087439923628942	0.0004773191125156363
mail_type		0	0	0			0.0	0.0	0.0	0.0
Col Value-T	Col Value-1	CV Count-2	CVT Count-3	CVF Count-4	3 D 2	4 D 2	3 D TTT	4 D TTF	2 D TT	3 D TT
hacker_timezone	18000.0	214033	56046	157987	0.26185681647222625	0.7381431835277737	0.3473631365938009	0.4865614827179467	0.4403536276252551	0.11530959905194549
hacker_timezone	-14400.0	54380	22903	31477	0.4211658698050754	0.5788341301949246	0.14194871922006608	0.09694149386666502	0.11188195404569096	0.04712086049114491
hacker_timezone	-25200.0	54548	22791	31757	0.41781550194324263	0.5821844980567573	0.1412545631465103	0.09780382567346574	0.11222759892027125	0.04689043057475805
hacker_timezone	7200.0	38171	13271	24900	0.34767231668020226	0.6523276833197977	0.08225129689427135	0.07668593567620673	0.07853339587859635	0.02730388768187504
hacker_timezone	-18000.0	26307	11302	15005	0.4296194929106322	0.5703805070893678	0.07004778520827781	0.04621174557515992	0.05412428402133122	0.023252847455395353
hacker_timezone	10800.0	23967	8969	14998	0.3742228898068177	0.6257771101931823	0.05558826628322807	0.0461901872799899	0.04930994469682007	0.018452910000658372
hacker_timezone	3600.0	15031	5901	9130	0.392588650123079	0.607411349876921	0.03657334812546871	0.028118176414609133	0.03092492922509711	0.012140776219632629
hacker_timezone	-10800.0	10815	4441	6374	0.4106333795654184	0.5893666204345815	0.02752452788090265	0.01963036763052778	0.022250888801106063	0.009136957666732504
hacker_timezone	28800.0	11335	3780	7555	0.333480370533745	0.666519629466255	0.023427767482506648	0.023267560001355093	0.023320741984330765	0.007777009678056488
hacker_timezone	-21600.0	5151	2128	3023	0.4131236653077072	0.5868763346922927	0.013188965397559298	0.009310103756994897	0.01059771874382777	0.004378168411350319
hacker_timezone	25200.0	7153	2092	5061	0.2924647001258213	0.7075352998741786	0.012965843802487807	0.015586647407922982	0.014716653499242872	0.0043041016525116865
hacker_timezone	Empty	6939	2036	4903	0.29341403660469806	0.7065859633953019	0.01261876576570993	0.015100045888371147	0.014276367766146554	0.004188886694318257
hacker_timezone	32400.0	3946	1500	2446	0.3801317790167258	0.6198682209832742	0.009296733127978829	0.007533084283694845	0.008118539732701296	0.0030861149516097177
hacker_timezone	36000.0	3650	1461	2189	0.4002739726027397	0.5997260273972602	0.009055018066651379	0.006741586875309901	0.007509546382250313	0.0030058759628678647
hacker_timezone	21600.0	4854	1160	3694	0.23897816234033786	0.7610218376596621	0.0071894736189702935	0.011376620336863761	0.009986667983409046	0.0023865955625781816
hacker_timezone	14400.0	2809	797	2012	0.2837308650765397	0.7162691349234603	0.004939664201999417	0.0061964699831537325	0.005779264599381131	0.00163975574428863
hacker_timezone	43200.0	932	380	552	0.40772532188841204	0.592274678111588	0.0023551723924213033	0.0017000255619785587	0.0019175060899335045	0.0007818157877411285
hacker_timezone	0.0	1205	202	1003	0.16763485477178422	0.8323651452282158	0.0012519600612344822	0.003088995722218287	0.002479179011126473	0.00041559681348344197
hacker_timezone	-36000.0	257	96	161	0.3735408560311284	0.6264591439688716	0.000594990920190645	0.000495840788910413	0.0005287543617091316	0.00019751135690302193
hacker_timezone	-28800.0	394	76	318	0.19289340101522842	0.8071065989847716	0.0004710344784842606	0.000979362552009387	0.0008106195272894858	0.00015636315754822568
